t_s,err1,err2
178.25,0.010619179262713486,0.029903752782934157
178.3,0.06579850924669181,0.05178030175515386
178.35,0.0870671472978452,0.05152392031859368
178.4,0.0665403020538849,0.030501942918626703
178.45,0.015570230181087484,-0.00022471973998288022
178.5,-0.04076245287246596,-0.028444686631027262
178.55,-0.07468765216572824,-0.044886242131842745
178.6,-0.0695448158263983,-0.04450472769155597
178.65,-0.028809145657963088,-0.02752993861878863
178.7,0.02691642141640361,0.00014381964876837786
178.75,0.07084198637903445,0.026567353452796653
178.8,0.08155850200377715,0.038272526946612685
178.85,0.05254767200139064,0.030584285705232545
178.9,-0.0047847918019012035,0.011597858774977838
178.95,-0.065545696380087,-0.0067663478595337044
179.0,-0.10087021192205994,-0.017914294108634824
179.05,-0.09135582677536792,-0.01967966453625533
179.1,-0.03826674460828615,-0.011890208887730893
179.15,0.0362343262005743,0.0016735867224969387
179.2,0.09965492482285979,0.012353070921280409
179.25,0.12384634232488098,0.011732829306531365
179.3,0.09716848609049958,-0.0004902625892457705
179.35,0.02810810470641142,-0.014933459643326801
179.4,-0.05774992536862281,-0.02057089322397219
179.45,-0.12523517875453746,-0.013232387168433809
179.5,-0.14399333847913923,0.004207103872256753
179.55,-0.10358624313660908,0.024948120638876643
179.6,-0.019122837649312618,0.039060087410762716
179.65,0.07486904106683466,0.03622137327271173
179.7,0.1395701023286559,0.013005712154294692
179.75,0.1499465319154667,-0.022026804184451295
179.8,0.10365274311147073,-0.05231881257209997
179.85,0.01746491431149089,-0.06286089021900462
179.9,-0.0777223196822543,-0.046708930969925476
179.95,-0.14386192793623936,-0.007145545754876062
180.0,-0.1524126154833384,0.041838531774631565
180.05,-0.10046175903073883,0.07871131723946066
180.1,-0.011724455712727344,0.08422849260048836
180.15,0.07656796580469272,0.05315624619381652
180.2,0.13139909036025704,-0.002701394787550689
180.25,0.13642135602157685,-0.06199882686573956
180.3,0.09297822657283022,-0.10174296389318377
180.35,0.0168028981904628,-0.10306853495003607
180.4,-0.06327595822765292,-0.06027681122209356
180.45,-0.1145328117710583,0.012111405291268333
180.5,-0.1179808262173538,0.0837022961510013
180.55,-0.07786530934366256,0.12322212077557927
180.6,-0.015060282895675991,0.11425501125379553
180.65,0.04592363838381943,0.060709235193200824
180.7,0.08526186495106827,-0.01897438548431991
180.75,0.09135100383436069,-0.09713333792016744
180.8,0.06421517693932988,-0.14106059631723455
180.85,0.01713930920434451,-0.12772334692380025
180.9,-0.029187299331109993,-0.060496475555583885
180.95,-0.05771873825750587,0.031810623218922314
181.0,-0.06200282261887416,0.11183681417722745
181.05,-0.04519816787211632,0.1492856116810748
181.1,-0.01628949263943724,0.12988688734631448
181.15,0.012568017751995546,0.059681865342196015
181.2,0.030364630636980715,-0.03637611349174559
181.25,0.033105680448377334,-0.12066481845963073
181.3,0.024893355572814142,-0.15657917876200236
181.35,0.012720967390149615,-0.12822912973608142
181.4,0.0015347621618567336,-0.04945812466990863
181.45,-0.005949354634757432,0.046107488321173166
181.5,-0.008204274279538149,0.1213052919461181
181.55,-0.006721662183631908,0.14798142174505927
181.6,-0.006603810594856917,0.11659204121301883
181.65,-0.011124631380256465,0.040288567931404215
181.7,-0.016745388028796743,-0.049960601267011566
181.75,-0.01666625840474322,-0.117134863095344
181.8,-0.0083420870346115,-0.13391081093762655
181.85,0.005090544872212018,-0.09550825919982947
181.9,0.019262149670657532,-0.021306243643282232
181.95,0.030235145063819132,0.05544358812038033
182.0,0.03282305543790055,0.10352352752756931
182.05,0.022120004017149343,0.10626088983521552
182.1,-0.0011244584332649815,0.06606773814596403
182.15,-0.027243691514698434,0.0017653363283738823
182.2,-0.04264331024904409,-0.05851864003543134
182.25,-0.040067971479528876,-0.08848789429241037
182.3,-0.02250207281710388,-0.07640974830673901
182.35,0.0028846735601809953,-0.030798050257138096
182.4,0.028509255171557335,0.02484662079400106
182.45,0.04445812264578082,0.06388845813949373
182.5,0.0422047068668946,0.06911477528959033
182.55,0.021679710364680423,0.040139176827904785
182.6,-0.007725315942133915,-0.00810660025093115
182.65,-0.03208028035919134,-0.05225023676759402
182.7,-0.040552662994543645,-0.0701949938346282
182.75,-0.031851707133591776,-0.05225679001191798
182.8,-0.012731075607617048,-0.006011389505528851
182.85,0.008971044409002408,0.04759517105444062
182.9,0.026077241720499238,0.08261152495898921
182.95,0.031375007101924396,0.07963242432571266
183.0,0.021988117890041507,0.036823050734513176
183.05,0.0033953968333058746,-0.027934707657544664
183.1,-0.01351475575712791,-0.08541135774043783
183.15,-0.01992679392593447,-0.10891097125045894
183.2,-0.014712102500530238,-0.08639851337067429
183.25,-0.003773602146225883,-0.02431040763891273
183.3,0.005883839665052121,0.054515948861678334
183.35,0.01020753674402659,0.11714927417549813
183.4,0.007277922273687102,0.13397903753780618
183.45,-0.0024568431806047185,0.09419026504439355
183.5,-0.013633490944461491,0.012569112775313673
183.55,-0.017547971556598995,-0.07702852774884762
183.6,-0.00902884531920622,-0.1375630793266827
183.65,0.008670797337608487,-0.14520059752858688
183.7,0.026248092333429448,-0.09643805896730917
183.75,0.03431596675445223,-0.007670112082121598
183.8,0.027032588607568117,0.08720029964673978
183.85,0.004003265963483468,0.14811960943978286
183.9,-0.027350174275112684,0.1492564026128155
183.95,-0.05243504345796236,0.09199204466372476
184.0,-0.056775335551907044,0.0009507837904925138
184.05,-0.035340250375734066,-0.08843718945137959
184.1,0.004814137164407095,-0.14276583725136033
184.15,0.049128951308691174,-0.14210729228239743
184.2,0.08000521311120647,-0.08689199477906376
184.25,0.08090016639697936,0.0008929290484352705
184.3,0.045006409797738886,0.08461277072175448
184.35,-0.016549452301899744,0.1302501137686546
184.4,-0.07721525398892479,0.12342240450509416
184.45,-0.1091096901678546,0.07231280841307819
184.5,-0.09789288078208852,-0.0010923866638376796
184.55,-0.046908464770721706,-0.06960206734119347
184.6,0.027502066199858333,-0.10802141610865403
184.65,0.09896051917389566,-0.10265979902554663
184.7,0.13582691937772226,-0.05846377836068028
184.75,0.11682840043276822,0.00310844416847015
184.8,0.046843861971278065,0.05551075762365931
184.85,-0.044597821076589966,0.08023265317754973
184.9,-0.12018874706724508,0.07281802462409104
184.95,-0.1506986786605499,0.04067424892565971
185.0,-0.1235551923222577,-0.0015145805751127408
185.05,-0.04672219807282267,-0.03650497787714927
185.1,0.05219920441861783,-0.051402731857722914
185.15,0.13327236384706634,-0.043962156970198014
185.2,0.16081429796379354,-0.022318106406969282
185.25,0.12309702499115535,0.0015489314589603234
185.3,0.03793203963928754,0.01824203167856227
185.35,-0.06005308259222979,0.023340960532491906
185.4,-0.1343524482447669,0.017574281693891493
185.45,-0.15623115253500736,0.006744057070186536
185.5,-0.11608228793632328,-0.0009876264561344752
185.55,-0.03047684504302039,-0.0012590567743981486
185.6,0.06469473252098491,0.003017713902721114
185.65,0.1305280192205051,0.005533821641747833
185.7,0.14194181634562902,0.0029419321456246417
185.75,0.09751242953907731,-0.003784055342938322
185.8,0.017817006132163044,-0.012356046253429962
185.85,-0.06443645485101737,-0.020002662195438368
185.9,-0.1165543979399821,-0.02177769351353339
185.95,-0.11870484505907705,-0.012531855710854115
186.0,-0.07283630920215269,0.006888868143573508
186.05,-0.0007783252935131916,0.026888382997267056
186.1,0.06585178033533137,0.03549682474165126
186.15,0.09912099446184541,0.0283383928664806
186.2,0.08729133060157468,0.010435625772230122
186.25,0.03922274267882408,-0.011411150767681092
186.3,-0.0211123721399404,-0.03158087415385171
186.35,-0.06596998009895792,-0.04193198075485377
186.4,-0.07646875587488382,-0.03486646882663326
186.45,-0.05037821528120636,-0.01114829583094478
186.5,-0.0014302262479054364,0.018320073987029055
186.55,0.04638052472935655,0.03880447493647355
186.6,0.06888053924557623,0.04140609892765837
186.65,0.05463905858537645,0.02807033012072355
186.7,0.011115736951482226,0.006244842809086627
186.75,-0.04004103640208802,-0.01757098400970861
186.8,-0.07343459275058788,-0.03543618090442822
186.85,-0.07144616835831445,-0.03803788917850623
186.9,-0.03303447986751163,-0.02296751841208692
186.95,0.02524003489355025,0.0011274981919814383
187.0,0.07660204219170377,0.021243075249019916
187.05,0.09645693558082659,0.02922792994041603
187.1,0.07386327422469588,0.02458662930974051
187.15,0.01588096651036333,0.011594822222131027
187.2,-0.05500055531652187,-0.0042025136405259254
187.25,-0.10822019632027753,-0.01657837745227158
187.3,-0.1176720916861916,-0.01928150907390145
187.35,-0.07599788010466103,-0.010675502603740578
187.4,-0.0001382875924665786,0.00285118838611618
187.45,0.07762070607799929,0.011409728897867689
187.5,0.12611805055970396,0.009855631646542358
187.55,0.12740029183394666,0.0004352868149045733
187.6,0.07931358393769258,-0.010773754201266486
187.65,-0.003787869605689342,-0.017427518772034748
187.7,-0.09008171136519842,-0.014425004003802016
187.75,-0.1412013659233977,-0.00018117948772344204
187.8,-0.1342983188886189,0.020259051694310456
187.85,-0.07489165611738516,0.03581587266421302
187.9,0.010807877156873353,0.0357926685434717
187.95,0.09106728151504263,0.017115601820740345
188.0,0.13816466632019733,-0.013971590715849526
188.05,0.13420205850036582,-0.045295636325788834
188.1,0.07778549696947226,-0.06278365876387387
188.15,-0.010262286120239635,-0.05518073971016539
188.2,-0.09221685706792315,-0.020791550005811385
188.25,-0.13354015151773588,0.028488115675831614
188.3,-0.12174720121544545,0.07160285776012296
188.35,-0.06669312490160999,0.08909644666641235
188.4,0.010191755701409467,0.07206021403165441
188.45,0.0813581429685321,0.024320983597773994
188.5,0.11904201599049569,-0.039295946250506995
188.55,0.10816702820154056,-0.0949505371608142
188.6,0.0554592741356499,-0.11654377306314459
188.65,-0.014292323522940608,-0.09017677229607086
188.7,-0.07184121555601938,-0.024828442954777652
188.75,-0.09709209305083474,0.05280661620300446
188.8,-0.0844616212548977,0.1129950968343141
188.85,-0.04146797883219568,0.1334223770887039
188.9,0.013636772322117489,0.10424869493981637
188.95,0.057652155198607564,0.03200017268299582
189.0,0.07360418290304212,-0.05868998814711123
189.05,0.05903971586432541,-0.13051949705584143
189.1,0.02465790859129005,-0.15060342903042673
189.15,-0.013330107045449175,-0.11011584181668535
189.2,-0.040290701924569704,-0.027796522376206376
189.25,-0.047504592166167266,0.06421043461794611
189.3,-0.03492429382937451,0.13351812105562802
189.35,-0.011313503583734582,0.1536744658472118
189.4,0.010686644389092621,0.11394780479232348
189.45,0.02208727553077806,0.028108232727552227
189.5,0.021411577924764662,-0.06897836586456856
189.55,0.012751560490599298,-0.13650322347896762
189.6,0.002013284784601309,-0.14728926927568234
189.65,-0.0052139532870281915,-0.10037263253269711
189.7,-0.005419842852501274,-0.017735817214377378
189.75,0.0003236900898103401,0.06813930990297976
189.8,0.006196589598675794,0.12449853323512923
189.85,0.005961752676012504,0.12918905282896698
189.9,-0.0016963013958078256,0.08148302738754583
189.95,-0.01199982461884031,0.003201336661390766
190.0,-0.01820845187015441,-0.07099785186618647
190.05,-0.01673185860807557,-0.10984543875732884
190.1,-0.007733392050367598,-0.1000607233526349
190.15,0.0072302296112646365,-0.050164731121352446
190.2,0.02377636771849161,0.015884180952079177
190.25,0.03309213421485149,0.06921417069285374
190.3,0.027522178590269133,0.0878706520903983
190.35,0.007618404551889996,0.06588783095543659
190.4,-0.017421504393467034,0.015229599938486939
190.45,-0.03549818133997841,-0.03901804035702895
190.5,-0.039054033884009194,-0.07025514967975093
190.55,-0.028247982828531866,-0.06443343743805965
